  0.0  1.00   1.00   0.99   1.00
  1.0  1.00   1.00   0.99   1.00
  2.0  1.00   1.00   0.99   1.00
  3.0  1.00   1.00   0.99   1.00
  4.0  1.00   1.00   0.99   1.00
  5.0  1.00   0.99   0.99   1.00
  6.0  1.00   0.99   0.99   1.00
  7.0  1.00   0.99   0.98   1.00
  8.0  1.00   0.99   0.98   1.00
  9.0  1.00   0.99   0.98   1.00
 10.0  1.00   0.99   0.97   1.00
 11.0  1.00   0.99   0.97   1.00
 12.0  1.00   0.99   0.97   1.00
 13.0  1.00   0.98   0.96   1.00
 14.0  1.00   0.98   0.95   1.00
 15.0  1.00   0.98   0.95   1.00
 16.0  1.00   0.98   0.94   1.00
 17.0  1.00   0.97   0.93   1.00
 18.0  1.00   0.97   0.92   1.00
 19.0  1.00   0.96   0.92   1.00
 20.0  1.00   0.96   0.91   1.00
 21.0  1.00   0.95   0.90   1.00
 22.0  1.00   0.95   0.88   1.00
 23.0  1.00   0.94   0.87   1.00
 24.0  1.00   0.94   0.86   1.00
 25.0  1.00   0.93   0.85   1.00
 26.0  1.00   0.92   0.83   1.00
 27.0  1.00   0.91   0.82   1.00
 28.0  1.00   0.90   0.81   1.00
 29.0  1.00   0.89   0.79   1.00
 30.0  1.00   0.88   0.78   1.00
 31.0  1.00   0.87   0.76   1.00
 32.0  1.00   0.86   0.75   1.00
 33.0  1.00   0.85   0.73   1.00
 34.0  1.00   0.84   0.72   1.00
 35.0  1.00   0.83   0.70   1.00
 36.0  1.00   0.81   0.69   1.00
 37.0  1.00   0.80   0.67   0.99
 38.0  1.00   0.79   0.66   0.99
 39.0  1.00   0.77   0.64   0.99
 40.0  1.00   0.76   0.63   0.99
 41.0  1.00   0.74   0.61   0.99
 42.0  1.00   0.73   0.60   0.99
 43.0  1.00   0.71   0.59   0.99
 44.0  1.00   0.70   0.57   0.98
 45.0  1.00   0.68   0.56   0.98
 46.0  1.00   0.66   0.55   0.98
 47.0  1.00   0.65   0.53   0.98
 48.0  1.00   0.63   0.52   0.97
 49.0  1.00   0.62   0.51   0.97
 50.0  1.00   0.60   0.50   0.96
 51.0  1.00   0.59   0.49   0.96
 52.0  1.00   0.57   0.48   0.95
 53.0  1.00   0.56   0.47   0.95
 54.0  1.00   0.55   0.46   0.94
 55.0  1.00   0.53   0.45   0.94
 56.0  1.00   0.52   0.44   0.93
 57.0  1.00   0.51   0.43   0.92
 58.0  1.00   0.50   0.42   0.91
 59.0  1.00   0.49   0.41   0.90
 60.0  1.00   0.48   0.40   0.89
 61.0  1.00   0.47   0.39   0.88
 62.0  1.00   0.46   0.38   0.87
 63.0  0.99   0.45   0.37   0.86
 64.0  0.99   0.45   0.37   0.85
 65.0  0.99   0.44   0.36   0.84
 66.0  0.99   0.44   0.35   0.83
 67.0  0.99   0.43   0.34   0.82
 68.0  0.99   0.43   0.34   0.80
 69.0  0.98   0.43   0.33   0.79
 70.0  0.98   0.43   0.32   0.78
 71.0  0.97   0.43   0.31   0.77
 72.0  0.97   0.43   0.31   0.76
 73.0  0.96   0.44   0.30   0.74
